Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
1	21368964	21386383	VIT_01s0010g03900
19	22499713	22500162	VIT_19s0085g00150
1	14497779	14497910	VIT_01s0010g00120
17	4232779	4244926	VIT_17s0000g04140
12	20398372	20405511	VIT_12s0035g00810
11	5580210	5582473	VIT_11s0118g00060
Un	39225125	39226050	VIT_00s1458g00010
5	1552762	1558886	VIT_05s0077g02000
Un	6854600	6856220	VIT_00s0174g00060
1	7278734	7280232	VIT_01s0137g00780
17	11284888	11286905	VIT_17s0000g09570
Un	21395739	21396014	VIT_00s0286g00010
Un	41265605	41267225	VIT_00s2191g00010
1	7763505	7789707	VIT_01s0127g00430
19	22201586	22201893	VIT_19s0027g01900
17	16699944	16705592	VIT_17s0053g00970
17	5399673	5414553	VIT_17s0000g04960
14	29337527	29339153	VIT_14s0108g00600
9	7546635	7549901	VIT_09s0002g07510
6	4794620	4796193	VIT_06s0004g03820
3	993344	994100	VIT_03s0038g01430
12	7147609	7148670	VIT_12s0059g02360
10	649106	651787	VIT_10s0116g01260
12	18887112	18897524	VIT_12s0034g02390
3	5135440	5144942	VIT_03s0063g01800
12	12989334	12990881	VIT_12s0055g00310
6	14183083	14183349	VIT_06s0009g01950
13	21283084	21284766	VIT_13s0158g00380
18	7474794	7480633	VIT_18s0001g08930
17	1829898	1832876	VIT_17s0000g02200
12	7856180	7860518	VIT_12s0134g00300
5	18667048	18669055	VIT_05s0062g00520
1	4920398	4927966	VIT_01s0011g05300
7	16533318	16534039	VIT_07s0031g00300
19	5376784	5377821	VIT_19s0014g05050
18_random	3653922	3657395	VIT_18s0001g04020
14	2616036	2620415	VIT_14s0128g00030
4	17429935	17435841	VIT_04s0023g01020
16	3563415	3564236	VIT_16s0115g00050
9	8876008	8906108	VIT_09s0002g08260
5	9358647	9364737	VIT_05s0049g01890
7	16265333	16267378	VIT_07s0129g01110
11	18936290	18937226	VIT_11s0052g01160
10	12691489	12692838	VIT_10s0042g00020
4	1382423	1384601	VIT_04s0008g01770
17	8541793	8543606	VIT_17s0000g07550
17	6769421	6770613	VIT_17s0000g06210
3	17178182	17181964	VIT_03s0017g01290
8	11857207	11860728	VIT_08s0040g00870
4	2365579	2368890	VIT_04s0008g02850
18	3741241	3745559	VIT_18s0001g04160
16	18856483	18860368	VIT_16s0050g01920
14	11517308	11520581	VIT_14s0036g01020
Un	41364309	41364703	VIT_00s2221g00010
5	3474560	3474914	VIT_05s0020g01760
11	7365757	7367391	VIT_11s0206g00040
11	3306255	3323305	VIT_11s0016g04060
11	7256605	7262019	VIT_11s0149g00360
19	7671515	7674046	VIT_19s0090g01590
14	25235153	25236812	VIT_14s0068g01520
18	13418393	13429810	VIT_18s0001g15280
6	7194372	7194413	VIT_06s0004g06470
14	418589	426137	VIT_14s0060g00450
16	17429551	17447121	VIT_16s0050g00510
4	22551652	22554070	VIT_04s0044g01170
2	3319376	3319775	VIT_02s0025g03810
11	1954285	1959529	VIT_11s0016g02420
Un	42582279	42582537	VIT_00s2643g00020
4	2148061	2148387	VIT_04s0008g02610
17_random	525725	526345	VIT_17s0000g00810
13	14441307	14444078	VIT_13s0073g00560
7_random	179123	182403	VIT_07s0141g00280
10	10377113	10389364	VIT_10s0003g05590
17	1243356	1245753	VIT_17s0000g01680
5	24864593	24868257	VIT_05s0094g01590
5	5188839	5200746	VIT_05s0020g03420
4	19652846	19656248	VIT_04s0023g03070
10	12053469	12059111	VIT_10s0092g00490
2	18145688	18147327	VIT_02s0087g00640
11	726084	734938	VIT_11s0016g00800
7	15058884	15060033	VIT_07s0191g00260
4	7150219	7155563	VIT_04s0008g07050
1	1589441	1597780	VIT_01s0011g01830
10	10008871	10010615	VIT_10s0003g05420
18	23123316	23123733	VIT_18s0117g00040
13	22053523	22055619	VIT_13s0064g00430
7	890708	893206	VIT_07s0151g00360
7	1831451	1832423	VIT_07s0104g00640
6	5838727	5844007	VIT_06s0004g04870
1	8992848	9017917	VIT_01s0026g00310
5	23866670	23876823	VIT_05s0094g00510
3	6571900	6589424	VIT_03s0091g00290
17	9406972	9411665	VIT_17s0000g08320
1	8304090	8304305	VIT_01s0127g00900
19	4833693	4836694	VIT_19s0014g04520
16	8183260	8183939	VIT_16s0013g01470
15	16867611	16876297	VIT_15s0048g02730
13	4338690	4342831	VIT_13s0019g03280
1	22279639	22280757	VIT_01s0146g00420
11	13879697	13887340	VIT_11s0065g00240
6	7208317	7210341	VIT_06s0004g06490
18_random	3618058	3621174	VIT_18s0001g03980
16	21708635	21712089	VIT_16s0098g01540
16	19111389	19118799	VIT_16s0050g02130
18	22331744	22346849	VIT_18s0075g00690
2	12310840	12329135	VIT_02s0109g00130
9	10143081	10144030	VIT_09s0002g08760
18	4041678	4046983	VIT_18s0001g04880
Un	29689697	29690331	VIT_00s0462g00010
13	5001203	5002266	VIT_13s0019g03810
Un	25621460	25624034	VIT_00s0361g00060
4	19796274	19801162	VIT_04s0023g03250
8	15381967	15387791	VIT_08s0007g01290
8	20070508	20072280	VIT_08s0007g06290
9	6633791	6644039	VIT_09s0002g06730
8	21184498	21188516	VIT_08s0007g07730
4	3199857	3211964	VIT_04s0008g03880
2	9560531	9563757	VIT_02s0012g02500
10	1216991	1220185	VIT_10s0405g00010
Un	7906299	7916137	VIT_00s0181g00220
2	1267450	1273671	VIT_02s0025g01350
18	4465943	4475083	VIT_18s0001g05740
12	15762397	15768743	VIT_12s0034g00290
7	15656513	15669687	VIT_07s0129g00410
18	14204751	14205007	VIT_18s0166g00220
3	9072903	9073766	VIT_03s0088g00840
16	439597	441387	VIT_16s0039g00820
3	4819085	4820342	VIT_03s0063g01380
13	821719	823785	VIT_13s0067g01460
14	15400559	15401694	VIT_14s0006g00740
8	19942405	19948621	VIT_08s0007g06130
